method,game,iter,reward
brute,airstriker,913,480
brute,airstriker,914,980
brute,airstriker,915,620
brute,airstriker,916,560
brute,airstriker,917,1020
brute,airstriker,918,420
brute,airstriker,919,300
brute,airstriker,920,540
brute,airstriker,921,240
brute,airstriker,922,760
brute,airstriker,923,420
brute,airstriker,924,1020
brute,airstriker,925,340
brute,airstriker,926,1020
brute,airstriker,927,680
brute,airstriker,928,440
brute,airstriker,929,240
brute,airstriker,930,240
brute,airstriker,931,460
brute,airstriker,932,780
brute,airstriker,933,1020
brute,airstriker,934,740
brute,airstriker,935,280
brute,airstriker,936,960
brute,airstriker,937,1020
brute,airstriker,938,1020
brute,airstriker,939,1020
brute,airstriker,940,660
brute,airstriker,941,520
brute,airstriker,942,500
brute,airstriker,943,360
brute,airstriker,944,1020
brute,airstriker,945,380
brute,airstriker,946,1020
brute,airstriker,947,1020
brute,airstriker,948,580
brute,airstriker,949,160
brute,airstriker,950,920
brute,airstriker,951,940
brute,airstriker,952,660
brute,airstriker,953,420
brute,airstriker,954,160
brute,airstriker,955,280
brute,airstriker,956,1020
brute,airstriker,957,500
brute,airstriker,958,280
brute,airstriker,959,500
brute,airstriker,960,420
brute,airstriker,961,680
brute,airstriker,962,240
brute,airstriker,963,1020
brute,airstriker,964,1020
brute,airstriker,965,420
brute,airstriker,966,960
brute,airstriker,967,660
brute,airstriker,968,1020
brute,airstriker,969,1020
brute,airstriker,970,1020
brute,airstriker,971,140
brute,airstriker,972,940
brute,airstriker,973,200
brute,airstriker,974,1020
brute,airstriker,975,1020
brute,airstriker,976,460
brute,airstriker,977,680
brute,airstriker,978,1020
brute,airstriker,979,520
brute,airstriker,980,160
brute,airstriker,981,660
brute,airstriker,982,600
brute,airstriker,983,960
brute,airstriker,984,1020
brute,airstriker,985,780
brute,airstriker,986,700
brute,airstriker,987,400
brute,airstriker,988,1020
brute,airstriker,989,1020
brute,airstriker,990,260
brute,airstriker,991,680
brute,airstriker,992,680
brute,airstriker,993,520
brute,airstriker,994,1020
brute,airstriker,995,1020
brute,airstriker,996,1020
brute,airstriker,997,220
brute,airstriker,998,1020
brute,airstriker,999,540
brute,airstriker,1000,1020
brute,airstriker,1001,1000
brute,airstriker,1002,960
brute,airstriker,1003,460
brute,airstriker,1004,680
brute,airstriker,1005,1020
brute,airstriker,1006,480
brute,airstriker,1007,1020
brute,airstriker,1008,360
brute,airstriker,1009,620
brute,airstriker,1010,640
brute,airstriker,1011,980
brute,airstriker,1012,480
brute,airstriker,1013,1020
brute,airstriker,1014,300
brute,airstriker,1015,940
brute,airstriker,1016,480
brute,airstriker,1017,440
brute,airstriker,1018,1020
